Title,Number_of_characters,Description,Gender,doNotUse,birthYear,deathDate,deathYear,ethnicity,nationality,country,region,religion,activeYearsStartYear,genre,notableWork,almaMater
Joe Camp,1,American film director,NA,1939-04-20,1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Connelly (producer),5,Scriptwriter,NA,1917-08-22,1917,2003-02-13,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Phillips,2,Artist,NA,1969-02-13,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Pruett,1,Writer,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
James Sherman (comics),2,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamie Brittain,26,British television writer,NA,1985-08-14,1985,NA,NA,NA,NA,United Kingdom and Scotland,NA,NA,NA,NA,NA,NA
Jamie McKelvie,1,Cartoonist,NA,NA,1980,NA,NA,NA,English people,NA,NA,NA,NA,NA,NA,NA
Jan Duursema,1,Artist,NA,1954-10-27,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Latour,1,Americancomic book artist,NA,1977-08-29,1977,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Jason Pearson,1,Comic creator,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Jason Rothenberg (television producer),2,American screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Body Politic (TV pilot) and The 100 (TV series),NA
Jaume Balagueró,2,Spanish film director,NA,1968-11-02,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Javier Hernandez (comics),5,Artist,NA,1966-04-23,1966,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Javier Pulido,1,Artist,NA,NA,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jean-François Parot,1,French writer,NA,1946-06-27,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jean Cézard,1,French cartoonist,NA,NA,1924,NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jean Tabary,1,Artist,NA,1930-03-05,1930,2011-08-18,2011,NA,France,NA,NA,NA,NA,NA,NA,NA
Jeff Davis (writer),6,Writer TV producer,NA,1975-06-13 and 1975-07-13,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Eastin,1,American screenwriter,NA,1967-03-07,1967,NA,NA,NA,NA,NA,NA,NA,1994,NA,NA,NA
Jeff Johnson (artist),2,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Kinney (author),1,American children's writer,NA,1971-02-19,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Lemire,1,Cartoonist,NA,1976-03-21,1976,NA,NA,NA,Canadians,NA,NA,NA,NA,NA,NA,NA
Jeff Lindsay (writer),8,American writer,NA,1952-07-14,1952,NA,NA,NA,NA,NA,NA,NA,1994,Mystery fiction,Dexter Morgan,Middlebury College
Jennifer Lee (filmmaker),5,American filmmaker,NA,NA,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of New Hampshire and Columbia University School of the Arts
Jeremy Haun,1,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerome Opeña,1,Comic book artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Bingham,2,Artist,NA,1953-06-25,1953,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
John Francis Moore (writer),16,comic book writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Friedmann,1,American city planner,NA,NA,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John J. Miller (author),1,American writer,NA,NA,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John K. Snyder,1,Louisiana mayor,NA,1922-08-29,1922,1993-01-11,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Lounsbery,2,American animator,NA,1911-03-09,1911,1976-02-13,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Mulaney,1,American actor and comedian,NA,1982-08-26,1982,NA,NA,NA,NA,NA,NA,NA,NA,Observational comedy,NA,NA
John Ney Rieber,1,Writer,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
John Paul Leon,5,Artist,NA,1972-04-26,1972,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
John Ridgway (comics),2,Comic artist,NA,1940-05-04,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Rozum,1,Writer and Blogger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Verpoorten,1,Artist,NA,1940-05-15,1940,NA,1977,NA,United States,NA,NA,NA,NA,NA,NA,NA
John Warner (comics),3,American comics writer,NA,1952-12-03,1952,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Jonathan Hickman,5,Writer,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Joshua Safran,1,American television producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josip Vandot,1,Slovenian writer,NA,1884-01-15,1884,1944-07-11,1944,NA,Slovenes,NA,NA,NA,NA,NA,NA,NA
José Delbo,2,Comic book artist,NA,1933-12-09,1933,NA,NA,NA,Argentines,NA,NA,NA,NA,NA,NA,NA
José Rizal,2,Filipino activist,NA,1861-06-19,1861,1896-12-30,1896,NA,NA,NA,NA,NA,NA,NA,NA,Complutense University of Madrid and Ateneo de Manila University and University of Santo Tomas
Julie Plec,2,American screenwriter,NA,1972-05-26,1972,NA,NA,NA,United States,NA,NA,NA,1996,NA,Kyle XY and Scream (franchise) and The Vampire Diaries and The Originals (TV series),Northwestern University
Jun Fukuda,5,Japanese film director,NA,1923-02-17,1923,2000-12-03,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Junot Díaz,1,American writer of Dominican Republic descent,NA,1968-12-31,1968,NA,NA,NA,NA,NA,NA,NA,1997,NA,NA,NA
Justin Gray,10,Americancomic book writer,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Justiniano,2,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J. J. Philbin,1,American television producer and writer,NA,1974-08-30,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Binder (artist),3,Comic creator,NA,1902-08-11,1902,1986-03-06,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack C. Harris,4,Writer,NA,1947-08-30,1947,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Jack Heath,1,Australian writer,NA,1986-08-23,1986,NA,NA,NA,NA,NA,NA,NA,NA,Young-adult fiction,NA,NA
Jack LoGiudice,1,American television writer and producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,NA,NA,NA
Jack Sparling,3,Artist,NA,1916-06-21,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamal Igle,2,Artist,NA,NA,1972,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
James D. Parriott,1,American film director,NA,1950-11-14,1950,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
James Fry,1,Australian writer,NA,1982-12-02,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Åke Holmberg,1,Swedish writer,NA,1907-05-31,1907,1991-09-09,1991,NA,Swedish language,NA,NA,NA,1946,Children's literature,Tam Sventon,NA
Kalman Andrasofszky,1,Canadian artist writer designer entrepreneur,NA,1975-08-21,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamagurka,2,cartoonist playwright television producer,NA,1956-05-05,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karen Chance,1,American writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kass Morgan,1,American writer,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,Science fiction and Apocalyptic and post-apocalyptic fiction and Young-adult fiction and Dystopia,The 100 trilogy,NA
Katherine Fugate,7,American screenwriter and producer,NA,1965-07-14,1965,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA
Kazuki Ōmori,3,Japanese film director,NA,1952-03-03,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kelly Sue DeConnick,3,American writer,NA,1970-07-15,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ken Bald,1,Illustrator,NA,1920-08-01,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ken Kuronuma,2,Japanese writer,NA,1902-05-01,1902,1985-07-05,1985,NA,NA,Japan,NA,NA,NA,NA,NA,NA
Ken Wheat,1,American screenwriter,NA,NA,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keron Grant,8,Artist,NA,1976-08-23,1976,NA,NA,NA,Jamaican Americans,NA,NA,NA,NA,NA,NA,NA
Kerry Gammill,6,Artist,NA,1954-04-26,1954,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Kerry Greenwood,1,Australian crime writer,NA,1954-06-17,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Melbourne
Kev Hopgood,1,Comic book artist,NA,1961-08-25,1961,NA,NA,NA,British people,NA,NA,NA,NA,NA,NA,NA
Kim Henkel,1,American film director producer and screenwriter,NA,1946-01-19,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klaus Nordling,1,Writer,NA,1910-05-29,1910,1986-11-19,1986,NA,United States,NA,NA,NA,NA,NA,NA,NA
Kyle Hotz,4,Americancomic book artistand writer,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Kyle Killen,3,Television producer and writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA
K. Madhu,2,Film director,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucy Prebble,2,British playwright,NA,NA,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke Ross,1,Artist,NA,1972-07-18,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laeta Kalogridis,1,American screenwriter producer,NA,1965-08-30,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Texas at Austin and UCLA School of Theater Film and Television
Laren Bright,2,American television writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larry Stroman,2,American comic book artist and writer,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Larry White,1,American baseball player,NA,1958-09-25,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lars Mortimer,1,Swedish cartoonist,NA,1946-03-22,1946,2014-08-25,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laura Molina (artist),1,Artist,NA,1957-12-15,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lauren Elliott,1,American game designer,NA,1946-08-29,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Len Strazewski,4,Writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leo Benvenuti and Steve Rudnick,1,Screenwriters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leo Dorfman,1,Writer,NA,1914-02-17,1914,1974-07-09,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA
Les Clark,2,American animator,NA,1907-11-17,1907,1979-09-12,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leslie Bohem,1,Screenwriter,NA,1951-09-25,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lew Schwartz,2,Artist,NA,1926-07-24,1926,2011-06-18,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lewis Carroll,27,Author mathematician and clergyman,NA,1832-01-27,1832,1898-01-14,1898,NA,NA,NA,NA,NA,NA,Linear algebra and Mathematical logic and Poetry and Childrens literature and Fantasy literature and Voting system and Literary nonsense,Through the Looking-Glass and The Hunting of the Snark and Alices Adventures in Wonderland and Jabberwocky,NA
Linda Woolverton,5,American screenwriter,NA,1952-12-19,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California State University Long Beach and California State University Fullerton
Louis Cazeneuve,1,Artist,NA,1908-08-08,1908,NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louis Ferstadt,1,Artist,NA,NA,1900,NA,1954,NA,United States,United States,NA,NA,NA,NA,NA,NA
M. D. Bright,6,Artist,NA,NA,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
