Title, Number_of_characters, Description, Gender, doNotUse, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
Chuck Patton, 8, Artist, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Clark Ashton Smith, 1, NA, NA, 1893-01-13, 1893, 1961-08-14, NA, NA, NA, NA, NA, NA, NA, Horror fiction and Science fiction and Fantasy, NA, NA
Clay Mann, 1, artist, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Clayton Crain, 3, Artist, NA, NA, 1975, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Clayton Henry, 8, Comic book artist, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Cliff Chiang, 2, Artist, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Cliff Rathburn, 2, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Cliff Robinson (artist), 2, NA, NA, NA, NA, NA, NA, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
Clive Barker, 5, NA, NA, 1952-10-05, 1952, NA, NA, NA, United Kingdom, NA, NA, NA, NA, Horror fiction and Fantasy, NA, NA
Clive Cussler, 2, NA, NA, 1931-07-15, 1931, NA, NA, NA, NA, NA, NA, NA, 1973, Adventure fiction, NA, NA
C. C. Beck, 11, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Coen brothers, 1, NA, NA, 1957-09-21, 1957, NA, NA, NA, NA, NA, NA, Judaism, 1984, NA, NA, NA
Colin Dexter, 1, NA, NA, 1930-09-29, 1930, NA, NA, NA, NA, NA, NA, NA, NA, Crime fiction, NA, Christ's College Cambridge
Colin MacNeil, 1, Artist, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Colin Wilson (comics), 1, NA, NA, NA, NA, NA, NA, NA, New Zealand, NA, NA, NA, NA, NA, NA, NA
Cormac McCarthy, 2, NA, NA, 1933-07-20, 1933, NA, NA, NA, United States, NA, NA, NA, NA, Apocalyptic and post-apocalyptic fiction and Western fiction and Southern Gothic, All the Pretty Horses (novel) and Blood Meridian and Suttree and No Country for Old Men and The Road and The Sunset Limited, NA
Cornelia Funke, 3, NA, NA, 1958-12-10, 1958, NA, NA, NA, NA, NA, NA, NA, NA, Fantasy and Adventure, Inkheart trilogy, NA
Cory Walker, 12, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Cosmic Boy, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Craig Johnson (author), 1, American writer, NA, 1961-01-16, 1961, NA, NA, NA, United States, NA, NA, NA, NA, Detective fiction and Western (genre) and Crime fiction, NA, NA
Craig Kyle, 5, Writer, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Craig Rousseau, 1, Artist, NA, 1971-04-26, 1971, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Craig Thomas (screenwriter), 6, American wcreenwriter, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Creig Flessel, 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Cullen Bunn, 1, American comic writer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Cully Hamner, 4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Curt Swan, 34, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Cynthia Martin, 1, Cartoonist, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
C. S. Forester, 2, NA, NA, 1899-08-27, 1899, 1966-04-02, NA, NA, NA, NA, NA, NA, NA, Nautical fiction, NA, NA
Cal Dalton, 2, Director, NA, NA, 1908, NA, 1974, NA, NA, NA, NA, NA, NA, NA, NA, NA
Cam Kennedy, 2, NA, NA, NA, NA, NA, NA, NA, Scottish people, NA, NA, NA, NA, NA, NA, NA
Cameron Stewart, 1, NA, NA, NA, NA, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
Candace Bushnell, 6, NA, NA, 1958-12-01, 1958, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
